Date,Time,Item,Action
17-09-2023,08:00:00,Milk,Added
17-09-2023,08:05:00,Milk,Removed
17-09-2023,08:10:00,Apple,Added
17-09-2023,12:30:00,Apple,Added
17-09-2023,12:35:00,Apple,Removed
17-09-2023,18:15:00,Juice,Added
17-09-2023,20:30:00,Meat,Added
17-09-2023,20:35:00,Meat,Removed
17-09-2023,20:40:00,Eggs,Added
17-09-2023,22:45:00,Eggs,Removed
17-09-2023,22:50:00,Bananas,Added
18-09-2023,07:45:00,Milk,Added
18-09-2023,07:50:00,Milk,Removed
18-09-2023,08:05:00,Apple,Added
18-09-2023,12:15:00,Apple,Added
18-09-2023,12:20:00,Apple,Removed
18-09-2023,18:10:00,Juice,Added
18-09-2023,20:25:00,Meat,Added
18-09-2023,20:30:00,Meat,Removed
18-09-2023,20:40:00,Eggs,Added
18-09-2023,22:50:00,Eggs,Removed
18-09-2023,23:00:00,Bananas,Added
19-09-2023,07:30:00,Milk,Added
19-09-2023,07:35:00,Milk,Removed
19-09-2023,08:00:00,Apple,Added
19-09-2023,12:45:00,Apple,Added
19-09-2023,12:50:00,Apple,Removed
19-09-2023,18:20:00,Juice,Added
19-09-2023,20:15:00,Meat,Added
19-09-2023,20:20:00,Meat,Removed
19-09-2023,20:35:00,Eggs,Added
19-09-2023,22:40:00,Eggs,Removed
19-09-2023,22:45:00,Bananas,Added
20-09-2023,07:55:00,Milk,Added
20-09-2023,08:05:00,Milk,Removed
20-09-2023,08:15:00,Apple,Added
20-09-2023,12:55:00,Apple,Added
20-09-2023,13:00:00,Apple,Removed
20-09-2023,18:25:00,Juice,Added
20-09-2023,20:30:00,Meat,Added
20-09-2023,20:35:00,Meat,Removed
20-09-2023,20:45:00,Eggs,Added
20-09-2023,22:55:00,Eggs,Removed
20-09-2023,23:10:00,Apple,Added
